"Numero"	"Localisation"	"cate_fonc"	"cate_typo"	"Description"	"nb_elem"	"Date "	"Provenance"	"Commentaire"	"English_transcrit "	"no_invent"
1	"Luna 2"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ye-1"	"Indéterminé"	"14/09/1959"	"URSS"			
2	"Ranger 4"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block II"	"Indéterminé"	"26/04/1962"	"USA"	"Echec de trajectoire."		
3	"Ranger 6"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"02/02/1964"	"USA"			
4	"Ranger 7"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"31/07/1964"	"USA"			
5	"Ranger 8"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"20/02/1965"	"USA"			
6	"Ranger 9"	"Véhicule spatial"	"Impacteur"	"Sonde d'impact Ranger Block III"	"Indéterminé"	"24/03/1965"	"USA"			
7	"Luna 5"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-6"	"Indéterminé"	"12/05/1965"	"URSS"	"Echec de l'atterrissage."		
8	"Luna 7"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-6"	"Indéterminé"	"08/10/1965"	"URSS"	"Echec de l'atterrissage."		
9	"Luna 8"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-6"	"Indéterminé"	"07/12/1965"	"URSS"	"Echec de l'atterrissage."		
10	"Luna 9"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Ye-6M"	1	"03/02/1966"	"URSS"			
11	"Luna 10"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6S"	"Indéterminé"	"30/05/1966"	"URSS"			
12	"Surveyor 1"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"02/06/1966"	"USA"			
13	"Surveyor 2"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Surveyor"	1	"23/09/1966"	"USA"	"Echec de l'atterrissage."		
14	"Luna 11"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6LF"	"Indéterminé"	"01/10/1966"	"URSS"			
15	"Lunar orbiter 1"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"29/10/1966"	"URSS"			
16	"Luna 13"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Ye-6M"	1	"24/12/1966"	"USA"			
17	"Luna 12"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6LF"	"Indéterminé"	"19/01/1967"	"USA"			
18	"Surveyor 3"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor incomplet"	1	"20/04/1967"	"USA"	"Deux rebonds à l'atterrissage. Visite et récupération de part par Apollo 12."		
19	"Surveyor 4"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Surveyor"	1	"17/07/1967"	"USA"	"Perte de contact, échec de l'atterrissage."		
20	"Lunar orbiter 4"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"17/07/1967"	"USA"			
21	"Explorer 35"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Interplanétaire Monitoring Platform (IMP-E)"	"Indéterminé"	"24/07/1967"	"USA"			
22	"Surveyor 5"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"11/09/1967"	"USA"			
23	"Lunar orbiter 3"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"09/10/1967"	"USA"			
24	"Lunar orbiter 2"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"11/10/1967"	"USA"			
25	"Surveyor 6"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"10/11/1967"	"USA"	"Petit saut réalisé plaçant la sonde 2,4m Ouest de sa position d'atterrissage."		
26	"Surveyor 7"	"Véhicule spatial"	"Atterrisseur "	"Atterrisseur lunaire non-habité Surveyor"	1	"10/01/1968"	"USA"			
27	"Lunar orbiter 5"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Lunar Orbiter"	"Indéterminé"	"31/01/1968"	"USA"			
28	"Luna 14"	"Véhicule spatial"	"Impacteur"	"Sonde orbitale Ye-6LS"	"Indéterminé"	"30/06/1968"	"URSS"	"Sonde presque identique avec Ye-6LF"		
29	"Apollo 10"	"Véhicule spatial"	"Impacteur"	"Etage de descente du module lunaire Snoopy"	"Indéterminé"	"22/05/1969"	"USA"	"Le reste du LM est en orbite héliocentrique."		
30	"Luna 15"	"Véhicule spatial"	"Impacteur"	"Atterrisseur lunaire non-habité Ye-8-5"	"Indéterminé"	"21/07/1969"	"URSS"	"Echec de l'atterrissage."		
31	"Apollo 11"	"Véhicule spatial"	"Atterrisseur "	"Etage de descente du module lunaire habité Eagle"	1	"21/07/1969"	"USA"	"Une plaque commémorative y est accrochée."		2
32	"Apollo 11"	"Véhicule spatial"	"Impacteur"	"Etage de montée du module lunaire habité Eagle"	"Indéterminé"	"21/07/1969"	"USA"			1
33	"Apollo 11"	"Equipement scientifique"	"Appareil audiovisuel"	"Filtre polarisant"	1	"21/07/1969"	"USA"			15
34	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Sous-système pour la caméra de télévision"	1	"21/07/1969"	"USA"			28
35	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Caméra de télévision"	1	"21/07/1969"	"USA"			29
36	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Objectif grand angle pour la caméra de télévision "	1	"21/07/1969"	"USA"			30
37	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Objectif de jour pour la caméra de télévision "	1	"21/07/1969"	"USA"			31
38	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Lot de câbles pour la caméra de télévision"	1	"21/07/1969"	"USA"			32
39	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Antenne de communication S-Band"	1	"21/07/1969"	"USA"			36
40	"Apollo 11"	"Equipement scientifique"	"Appareil Audiovisuel"	"Câbles pour l'antenne S-Band"	1	"21/07/1969"	"USA"			37
41	"Apollo 11"	"Equipement scientifique"	"Appareil audiovisuel"	"Protection thermique en mylar doré"	"Indéterminé"	"21/07/1969"	"USA"	"Le mylar doré a été arraché du LEM lors du décollage de l'étage de montée. "		49
42	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Collecteur de liquide causé par la condensation dans le PLSS"	2	"21/07/1969"	"USA"			12
43	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Système de support de vie (PLSS)"	2	"21/07/1969"	"USA"			16
44	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Console de contrôle du PLSS (RCU)"	2	"21/07/1969"	"USA"			17
45	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Paire de surchaussure pour botte lunaire"	2	"21/07/1969"	"USA"			18
46	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Connecteur PGA permettant de purger le gaz"	2	"21/07/1969"	"USA"			19
47	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Ligne de sureté"	1	"21/07/1969"	"USA"			25
48	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille "	2	"21/07/1969"	"USA"			26
49	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Système d'attaches et sangles pour la taille "	2	"21/07/1969"	"USA"			27
50	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Adaptateur OPS / SRC"	2	"21/07/1969"	"USA"			33
51	"Apollo 11"	"Equipement scientifique"	"Equipement pour EVA"	"Filtre pour l'ECS avec LiOH"	2	"21/07/1969"	"USA"			34
